Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
32,leaky_relu,384,2,0.2,0.0007,100,6.1660919189453125,2.483161677971314,1.8521273136138916,10.320787876844406,0.8364760279655457
32,elu,384,2,0.1,0.0005,100,6.167234897613525,2.483391813148607,1.8513033390045166,10.505221784114838,0.836445689201355
32,relu,192,2,0.2,0.0005,100,6.173271656036377,2.4846069419601116,1.8587621450424194,10.24378016591072,0.8362855911254883
32,leaky_relu,192,3,0.1,0.0005,100,6.17418098449707,2.4847899276391696,1.8537780046463013,10.32053530216217,0.836261510848999
64,relu,256,2,0.1,0.0003,100,6.179142951965332,2.485788195314583,1.8482005596160889,10.291924327611923,0.836129903793335
32,relu,192,3,0.1,0.0005,100,6.186557292938232,2.4872790942992773,1.8609323501586914,10.291464626789093,0.8359333276748657
64,leaky_relu,192,3,0.1,0.0007,100,6.218414306640625,2.4936748598485377,1.8512061834335327,10.341484099626541,0.8350884318351746
64,leaky_relu,384,3,0.2,0.0003,100,6.220074653625488,2.4940077493114345,1.8617007732391357,10.343547910451889,0.8350443840026855
64,elu,384,3,0.1,0.0007,100,6.222322463989258,2.4944583508227307,1.8513805866241455,10.47390028834343,0.8349847793579102
64,relu,192,2,0.2,0.0005,100,6.231827735900879,2.4963629014830513,1.8529510498046875,10.332133620977402,0.834732711315155
32,leaky_relu,256,2,0.2,0.0005,100,6.23262357711792,2.496522296539312,1.8550375699996948,10.277315974235535,0.8347116112709045
32,relu,192,2,0.1,0.0005,100,6.234485626220703,2.49689519728416,1.8497182130813599,10.385897755622864,0.8346622586250305
32,elu,384,2,0.1,0.0007,100,6.240401744842529,2.498079611390023,1.8597023487091064,10.556268692016602,0.8345053195953369
64,elu,384,3,0.1,0.0003,100,6.243791580200195,2.4987580075309803,1.868451476097107,10.563264787197113,0.8344154357910156
64,leaky_relu,192,3,0.2,0.0007,100,6.257856369018555,2.5015707803335396,1.8826384544372559,10.445285588502884,0.8340424299240112
64,elu,384,2,0.1,0.0007,100,6.259113788604736,2.5018220937158455,1.8684494495391846,10.589736700057983,0.8340091109275818
64,leaky_relu,256,2,0.2,0.0003,100,6.315425395965576,2.5130510134029467,1.8590580224990845,10.481251031160355,0.8325157165527344
32,elu,192,3,0.1,0.0007,100,6.316194534301758,2.5132040375388858,1.874401569366455,10.664115846157074,0.8324953317642212
64,leaky_relu,192,2,0.2,0.0005,100,6.316420555114746,2.513249003802597,1.860827922821045,10.446792095899582,0.8324893116950989
64,elu,256,2,0.1,0.0007,100,6.389083385467529,2.5276636218982005,1.8855421543121338,10.76221913099289,0.8305623531341553
32,leaky_relu,192,2,0.2,0.0007,100,6.46489953994751,2.542616671845662,1.8979474306106567,10.549820214509964,0.828551709651947
64,leaky_relu,192,2,0.2,0.0003,100,6.499966144561768,2.549503117190047,1.890391230583191,10.654304176568985,0.8276216983795166
32,elu,256,2,0.1,0.0005,100,6.510664463043213,2.5516003729117167,1.9216060638427734,10.931114107370377,0.8273379802703857
32,leaky_relu,192,2,0.2,0.0003,100,6.525243282318115,2.554455574543843,1.9060074090957642,10.64152717590332,0.8269513845443726
64,elu,256,2,0.1,0.0005,100,6.532828330993652,2.555939813648524,1.9176785945892334,10.90298667550087,0.8267502188682556
64,elu,192,3,0.1,0.0007,100,6.636636257171631,2.576166969971401,1.9222780466079712,11.000989377498627,0.8239972591400146
32,relu,384,3,0.2,0.0003,100,6.636841297149658,2.576206765216965,1.9383544921875,10.692936182022095,0.8239918351173401
32,relu,192,2,0.2,0.0003,100,6.646594047546387,2.578098921210431,1.924629807472229,10.672680288553238,0.8237332105636597
32,leaky_relu,384,2,0.2,0.0001,100,6.7041096687316895,2.589229551185389,1.9363662004470825,10.697553306818008,0.8222078680992126
32,elu,192,3,0.1,0.0003,100,6.724057197570801,2.593078710253663,1.9424101114273071,11.112616211175919,0.821678876876831
32,relu,384,3,0.1,0.0001,100,6.8021039962768555,2.6080843537502494,1.9541980028152466,10.766489803791046,0.8196090459823608
32,leaky_relu,256,3,0.2,0.0003,100,6.816503524780273,2.6108434508373484,1.9690849781036377,10.849205404520035,0.8192272186279297
64,relu,256,3,0.1,0.0003,100,6.831704616546631,2.6137529754256867,1.9512962102890015,10.67766398191452,0.818824052810669
64,leaky_relu,256,3,0.1,0.0003,100,6.843763828277588,2.6160588350183542,1.957384467124939,10.771284252405167,0.818504273891449
64,leaky_relu,256,3,0.1,0.0005,100,6.844305038452148,2.616162272958646,1.9567712545394897,10.741538554430008,0.8184899091720581
32,relu,256,3,0.2,0.0007,100,6.861954689025879,2.6195332960330697,1.9782986640930176,10.962189733982086,0.818021833896637
64,relu,384,3,0.2,0.0003,100,6.900504112243652,2.626881061685826,1.9713469743728638,10.802540928125381,0.8169994950294495
64,leaky_relu,192,3,0.2,0.0003,100,6.9755048751831055,2.641118110797604,1.9819632768630981,10.974670946598053,0.8150104880332947
32,relu,384,2,0.2,0.0007,100,7.036104202270508,2.6525655886840025,1.9957412481307983,11.053304374217987,0.8134034276008606
32,relu,256,3,0.1,0.0001,100,7.0961503982543945,2.663860056056698,1.9957858324050903,10.969097167253494,0.8118109703063965
