Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
32,relu,256,3,0.1,0.0003,100,6.049962520599365,2.4596671564663715,1.8265782594680786,10.128875076770782,0.8395557403564453
64,leaky_relu,256,2,0.2,0.0005,100,6.058521270751953,2.4614063603460425,1.8253616094589233,10.212548822164536,0.8393287658691406
64,leaky_relu,256,3,0.2,0.0003,100,6.073184967041016,2.4643832833065997,1.8473427295684814,10.252801328897476,0.838939905166626
32,relu,192,3,0.2,0.0003,100,6.097916126251221,2.4693959031008417,1.8499517440795898,10.198291391134262,0.8382840156555176
64,leaky_relu,192,2,0.1,0.0005,100,6.102190017700195,2.4702611233835574,1.842512845993042,10.293089598417282,0.8381707072257996
32,leaky_relu,192,2,0.2,0.0003,100,6.110311508178711,2.471904429418482,1.8333717584609985,10.241681337356567,0.8379552960395813
32,leaky_relu,256,2,0.2,0.0003,100,6.152134895324707,2.4803497526205267,1.8435845375061035,10.284845530986786,0.8368461728096008
64,elu,256,3,0.1,0.0005,100,6.248694896697998,2.4997389657118196,1.8678590059280396,10.64847856760025,0.8342853784561157
32,leaky_relu,192,2,0.2,0.0007,100,6.2656755447387695,2.5031331456274493,1.8646976947784424,10.345914959907532,0.8338350653648376
64,elu,256,3,0.1,0.0007,100,6.267932415008545,2.503583914113634,1.870171070098877,10.551679879426956,0.8337752223014832
64,leaky_relu,256,2,0.1,0.0005,100,6.2858099937438965,2.5071517691882748,1.8687925338745117,10.481153428554535,0.8333011269569397
64,leaky_relu,192,2,0.1,0.0007,100,6.303774356842041,2.5107318369037426,1.8654242753982544,10.47171950340271,0.83282470703125
64,elu,192,3,0.1,0.0007,100,6.325810432434082,2.5151163854649115,1.8849000930786133,10.710439831018448,0.8322403430938721
32,elu,256,3,0.1,0.0005,100,6.327012062072754,2.5153552556394003,1.8838211297988892,10.697563737630844,0.8322084546089172
64,relu,192,2,0.2,0.0003,100,6.34003210067749,2.5179420367986016,1.8597952127456665,10.40741577744484,0.8318631649017334
64,elu,256,2,0.1,0.0007,100,6.361502647399902,2.522201944214599,1.8818331956863403,10.664233565330505,0.8312937617301941
32,relu,192,2,0.2,0.0005,100,6.410460472106934,2.531888716374978,1.8811285495758057,10.532256215810776,0.8299953937530518
32,leaky_relu,256,3,0.1,0.0003,100,6.436437606811523,2.5370135212118052,1.8983906507492065,10.53621619939804,0.8293064832687378
64,relu,192,3,0.2,0.0003,100,6.514735221862793,2.552397935640678,1.9055193662643433,10.43717935681343,0.8272300362586975
64,leaky_relu,192,3,0.2,0.0005,100,6.531558036804199,2.555691303112369,1.9155124425888062,10.636835545301437,0.8267838954925537
64,relu,192,3,0.2,0.0005,100,6.595305442810059,2.5681326762474828,1.927506685256958,10.651521384716034,0.8250933289527893
32,leaky_relu,192,3,0.2,0.0003,100,6.630111217498779,2.5749002344748777,1.918591856956482,10.70304587483406,0.8241702914237976
64,leaky_relu,256,2,0.2,0.0003,100,6.674829483032227,2.5835691364916533,1.926392912864685,10.833793133497238,0.8229843974113464
32,elu,256,3,0.1,0.0007,100,6.720407009124756,2.59237478176377,1.9556159973144531,11.097042262554169,0.8217756748199463
32,elu,192,2,0.1,0.0005,100,6.771579742431641,2.602225920713196,1.9445372819900513,11.103279888629913,0.8204185962677002
32,relu,256,3,0.2,0.0003,100,6.784937858581543,2.6047913272624243,1.951829195022583,10.848651826381683,0.8200643062591553
