Epochs,Batch Size,Activation,Neurons,Dropout,BatchNorm,L2,Learning Rate,MSE,RMSE,MAE,MAPE,R²
200,128,leaky_relu,"(128, 64)",0.2,True,0.0,0.0001,12.992099423838361,3.6044554961655946,2.835338869234801,0.15422218551302153,0.6554511893186571
300,64,selu,"(64, 64)",0.0,True,0.0001,0.0001,13.000857172232253,3.605670141905975,2.83417067937631,0.15515629252839772,0.655218934954299
300,128,elu,"(64, 64, 32)",0.3,False,0.0001,0.0005,13.002919674279555,3.605956138707119,2.8467058929507334,0.15374931244814277,0.655164237664489
400,64,leaky_relu,"(128, 128)",0.3,True,0.001,0.0001,13.029302968279122,3.609612578695825,2.838205090408805,0.15373384344505808,0.654464556090876
400,64,leaky_relu,"(64, 64, 32)",0.2,False,0.001,0.0005,13.046105553329117,3.6119393064293197,2.8580069935796644,0.15832236178534784,0.6540189536900257
400,32,leaky_relu,"(64, 64, 32)",0.2,True,0.0,0.0005,13.154277095514772,3.6268825588257987,2.8688572785639415,0.15742609580144967,0.6511502582626147
400,64,leaky_relu,"(64, 32, 16)",0.1,True,0.001,0.0001,13.215887053867556,3.635366151279339,2.8591903334643605,0.15638042301338972,0.6495163700676376
300,64,tanh,"(128, 64)",0.3,False,0.001,0.0001,13.301189103676338,3.6470795307583215,2.8961301919549265,0.15717609014919873,0.6472541706453973
300,128,tanh,"(64, 64)",0.3,False,0.001,0.0001,13.321977999385298,3.6499284923660213,2.9013847942872117,0.1581391868813344,0.6467028517970548
300,128,leaky_relu,"(64, 64, 32)",0.2,True,0.0,0.0001,13.36182609190231,3.655383166222429,2.8836416568396226,0.15783918413869683,0.6456460854934145
400,64,selu,"(64, 64, 32)",0.3,False,0.0001,0.0005,13.389693576644799,3.6591930226000375,2.911799004192872,0.15884190600673767,0.6449070433716242
300,128,elu,"(64, 64, 32)",0.3,True,0.001,0.0001,13.60686393050028,3.6887482877664994,2.9119709774633122,0.15846835334250062,0.6391477134361667
400,64,tanh,"(64, 64, 32)",0.3,False,0.0001,0.0001,13.732446214847844,3.705731535722447,2.9504315710167712,0.15893288338722164,0.6358172873592842
200,64,elu,"(64, 64, 32)",0.2,False,0.0,0.0001,13.77983899002555,3.7121205516558256,2.940315448113208,0.15939529720281237,0.634560437038973
200,128,tanh,"(64, 64, 32)",0.3,False,0.001,0.0001,13.799170545022191,3.7147234816365797,2.9633729690775685,0.15958408215956366,0.6340477666794395
300,32,selu,"(128, 128)",0.3,False,0.0001,0.001,13.930370901175767,3.732341209103981,2.971640379323899,0.15931379344307056,0.630568350058694
300,64,selu,"(128, 64)",0.3,False,0.001,0.001,14.081963246983305,3.7525942022797114,2.9958574914832288,0.16355947522104827,0.6265481404872872
200,32,relu,"(64, 64, 32)",0.3,False,0.0,0.0005,14.09111128769081,3.753812899931323,2.957312958595388,0.15790496149261343,0.6263055356208211
400,64,selu,"(128, 64)",0.1,True,0.0,0.0001,14.117638273419075,3.757344577413559,2.98027712264151,0.16457966266636095,0.6256020433609895
400,64,elu,"(128, 64)",0.3,False,0.0,0.0005,14.343564792209202,3.7872899007349834,3.0075520833333336,0.16211593270649313,0.6196105010543098
300,32,tanh,"(128, 64)",0.3,True,0.0001,0.0005,15.395460922273198,3.923704999394475,3.121297251703354,0.17226869236926828,0.5917143505746685
200,64,leaky_relu,"(128, 64)",0.1,False,0.001,0.0001,17.170643813415143,4.14374755667079,3.271234604297694,0.18294706983706022,0.5446367279417497
400,64,leaky_relu,"(128, 64)",0.1,False,0.001,0.0005,19.92122850973901,4.463320345856771,3.509325864779874,0.19787567985674326,0.47169157451583
400,64,leaky_relu,"(64, 64)",0.1,False,0.0001,0.0005,19.95155880142308,4.466716780972695,3.5157834610849052,0.19824077218856648,0.4708872190697664
300,32,leaky_relu,"(128, 128)",0.2,False,0.0001,0.001,20.215052097408524,4.496115222879472,3.5600620741614253,0.19688492459487547,0.463899410649234
400,32,leaky_relu,"(128, 128)",0.2,False,0.0001,0.0001,20.549953068187403,4.533205606211503,3.5825168697589103,0.20357762157567108,0.4550178798501263
400,64,leaky_relu,"(64, 32, 16)",0.2,False,0.001,0.0005,20.812536908355646,4.562075942852732,3.625373837133124,0.2031591267991496,0.44805419008124214
200,32,leaky_relu,"(64, 64)",0.3,False,0.0,0.0001,21.051381533960626,4.588178454894777,3.6490598794549265,0.20648223017250253,0.44172006123838314
300,32,leaky_relu,"(64, 32, 16)",0.2,False,0.0,0.0001,21.248996287731753,4.609663359479925,3.6605796318134174,0.2040943527790345,0.4364793433094549
300,32,relu,"(64, 32, 16)",0.3,False,0.0,0.0005,21.97707502193171,4.687971311978318,3.7054364026467503,0.20193508425914808,0.41717078864347934
