Neighbors,Weights,Leaf_Size,P,MSE,RMSE,MAE,MAPE,R²
25,distance,10,1,10.721307329123354,3.274340747253308,2.5564939233938944,0.14323888858366798,0.7156723044760025
25,distance,20,1,10.72168579491947,3.274398539414448,2.5565431138337034,0.14324622663191214,0.715662267611622
25,distance,50,1,10.723167899713967,3.274624848698545,2.5568131816771325,0.14326125699502779,0.7156229623825293
25,distance,40,1,10.723167899713967,3.274624848698545,2.5568131816771325,0.14326125699502779,0.7156229623825293
25,distance,30,1,10.723167899713967,3.274624848698545,2.5568131816771325,0.14326125699502779,0.7156229623825293
3,uniform,20,1,10.723638772420218,3.2746967451078914,2.49022536687631,0.13580611887506683,0.7156104748987417
20,distance,20,2,10.734226430065592,3.2763129322556463,2.5486306377853776,0.14203398036775955,0.7153296915756923
20,distance,50,2,10.735268252935972,3.276471921585163,2.548580973507205,0.14202774910621402,0.7153020625667676
20,distance,30,2,10.735268252935972,3.276471921585163,2.548580973507205,0.14202774910621402,0.7153020625667676
20,distance,40,2,10.735268252935972,3.276471921585163,2.548580973507205,0.14202774910621402,0.7153020625667676
20,distance,10,2,10.735774129837694,3.2765491190943092,2.548422577280406,0.1420214643980763,0.7152886467762051
3,uniform,10,2,10.806203412532028,3.2872790287001843,2.5022973445143255,0.13623520897023975,0.713420871230634
3,uniform,30,2,10.834728336827393,3.2916148524436135,2.504830538085255,0.13635408876887026,0.712664393896208
3,uniform,40,2,10.834728336827393,3.2916148524436135,2.504830538085255,0.13635408876887026,0.712664393896208
3,uniform,50,2,10.834728336827393,3.2916148524436135,2.504830538085255,0.13635408876887026,0.712664393896208
3,uniform,20,2,10.84650011646867,3.293402513582066,2.506795946890287,0.13649696078718926,0.7123522078096727
30,distance,30,1,10.911905834900256,3.303317398449664,2.5875092689224624,0.14535650268483954,0.7106176565441542
30,distance,40,1,10.911905834900256,3.303317398449664,2.5875092689224624,0.14535650268483954,0.7106176565441542
30,distance,50,1,10.911905834900256,3.303317398449664,2.5875092689224624,0.14535650268483954,0.7106176565441542
30,distance,20,1,10.91316406441445,3.303507842341902,2.587321402083245,0.14535240713899447,0.7105842884587865
30,distance,10,1,10.914030248809963,3.3036389404427906,2.5875941178527215,0.14536512894433784,0.7105613173596925
25,distance,20,2,10.949570768440651,3.3090135642575795,2.5827457665278555,0.14435483971795826,0.7096187873366169
25,distance,40,2,10.949939465121892,3.3090692747541404,2.582798309434166,0.14435326770053708,0.7096090095479102
25,distance,30,2,10.949939465121892,3.3090692747541404,2.582798309434166,0.14435326770053708,0.7096090095479102
25,distance,50,2,10.949939465121892,3.3090692747541404,2.582798309434166,0.14435326770053708,0.7096090095479102
25,distance,10,2,10.95082296977354,3.3092027695161774,2.5829095837769005,0.1443617573483255,0.7095855791178445
5,uniform,20,1,11.053701362683439,3.324710718646577,2.5549737945492663,0.139996871756098,0.7068572573304608
5,uniform,10,1,11.07170995807128,3.3274179115451186,2.557374213836478,0.1400457556340434,0.7063796716901032
5,uniform,40,1,11.073537421383646,3.327692507036016,2.5580660377358497,0.1401771879938099,0.7063312075974035
5,uniform,30,1,11.073537421383646,3.327692507036016,2.5580660377358497,0.1401771879938099,0.7063312075974035
5,uniform,50,1,11.073537421383646,3.327692507036016,2.5580660377358497,0.1401771879938099,0.7063312075974035
35,distance,50,1,11.117544897340498,3.334298261604756,2.6183859234615396,0.1474306656673866,0.7051641349783163
35,distance,40,1,11.117544897340498,3.334298261604756,2.6183859234615396,0.1474306656673866,0.7051641349783163
35,distance,30,1,11.117544897340498,3.334298261604756,2.6183859234615396,0.1474306656673866,0.7051641349783163
35,distance,10,1,11.117621504859049,3.3343097493872773,2.618006070643265,0.14741411147120456,0.7051621033567481
35,distance,20,1,11.118449591737642,3.334433923732429,2.6181532271155796,0.14742141624638533,0.7051401425989174
30,distance,20,2,11.146318535243928,3.3386102700440983,2.614493407006979,0.14655681013151953,0.7044010617908982
30,distance,50,2,11.150893203571464,3.33929531541783,2.6152812542447803,0.1465914198166364,0.7042797421734834
30,distance,40,2,11.150893203571464,3.33929531541783,2.6152812542447803,0.1465914198166364,0.7042797421734834
30,distance,30,2,11.150893203571464,3.33929531541783,2.6152812542447803,0.1465914198166364,0.7042797421734834
30,distance,10,2,11.152087023250123,3.3394740638684595,2.6150044915875346,0.14658150647245557,0.7042480822286945
5,uniform,20,2,11.289156918238994,3.3599340645671893,2.584302935010482,0.14143428609703443,0.7006130061907159
5,uniform,10,2,11.302740880503144,3.3619549194632494,2.5851886792452836,0.14144022017976116,0.7002527612534069
5,uniform,50,2,11.308856289308176,3.362864298378419,2.586797693920335,0.14162573849622237,0.7000905813961054
5,uniform,40,2,11.308856289308176,3.362864298378419,2.586797693920335,0.14162573849622237,0.7000905813961054
5,uniform,30,2,11.308856289308176,3.362864298378419,2.586797693920335,0.14162573849622237,0.7000905813961054
40,distance,10,1,11.319535863096666,3.3644517923573622,2.6474729527090926,0.14939951351558375,0.6998073604687274
40,distance,20,1,11.32028942410131,3.3645637791697913,2.6476877864787136,0.14941402498592168,0.6997873761275168
40,distance,30,1,11.32242098306383,3.3648805302809532,2.647916896515374,0.14942405358144425,0.6997308474571708
40,distance,40,1,11.32242098306383,3.3648805302809532,2.647916896515374,0.14942405358144425,0.6997308474571708
40,distance,50,1,11.32242098306383,3.3648805302809532,2.647916896515374,0.14942405358144425,0.6997308474571708
35,distance,40,2,11.376162545667563,3.372856733641019,2.64960438341698,0.14893249454783425,0.6983056281084566
35,distance,30,2,11.376162545667563,3.372856733641019,2.64960438341698,0.14893249454783425,0.6983056281084566
35,distance,50,2,11.376162545667563,3.372856733641019,2.64960438341698,0.14893249454783425,0.6983056281084566
35,distance,20,2,11.378330884964878,3.373178157904631,2.6497834225375088,0.14895456827494913,0.6982481240283482
35,distance,10,2,11.379768044674426,3.373391178721262,2.650017499750315,0.14896520127050805,0.698210010737145
40,distance,30,2,11.588945823452129,3.404254077393773,2.683107824810252,0.15123748879108243,0.6926626428678241
40,distance,40,2,11.588945823452129,3.404254077393773,2.683107824810252,0.15123748879108243,0.6926626428678241
40,distance,50,2,11.588945823452129,3.404254077393773,2.683107824810252,0.15123748879108243,0.6926626428678241
40,distance,10,2,11.589446195390261,3.404327568755724,2.683380986619457,0.15124766677170512,0.69264937306819
40,distance,20,2,11.590655610582886,3.4045051932083883,2.6834552219459127,0.15125220871572181,0.6926172995323706
7,uniform,50,1,11.91333953707269,3.451570589901457,2.6668688230008986,0.14724214398471747,0.6840597631811594
7,uniform,30,1,11.91333953707269,3.451570589901457,2.6668688230008986,0.14724214398471747,0.6840597631811594
7,uniform,40,1,11.91333953707269,3.451570589901457,2.6668688230008986,0.14724214398471747,0.6840597631811594
7,uniform,10,1,11.913997507808155,3.4516659032716586,2.6673068283917343,0.14723212348786943,0.6840423138816295
7,uniform,20,1,11.918519498994565,3.4523208858671532,2.6674041629230305,0.14722564208542951,0.6839223912552423
7,uniform,30,2,12.07794661575322,3.4753340293780712,2.686945941898772,0.14790983828622659,0.6796944045629021
7,uniform,50,2,12.07794661575322,3.4753340293780712,2.686945941898772,0.14790983828622659,0.6796944045629021
7,uniform,40,2,12.07794661575322,3.4753340293780712,2.686945941898772,0.14790983828622659,0.6796944045629021
7,uniform,10,2,12.088306272194412,3.4768241646931775,2.6885669362084452,0.14796208530446195,0.6794196678025499
7,uniform,20,2,12.092473259744152,3.477423365042593,2.689368074273735,0.14802468577588798,0.6793091598270835
10,uniform,30,1,12.514494732704403,3.537583176789544,2.7388390985324946,0.152611097198993,0.6681172044820032
10,uniform,50,1,12.514494732704403,3.537583176789544,2.7388390985324946,0.152611097198993,0.6681172044820032
10,uniform,40,1,12.514494732704403,3.537583176789544,2.7388390985324946,0.152611097198993,0.6681172044820032
10,uniform,10,1,12.531983647798741,3.5400541871274713,2.7407547169811317,0.15265380310212542,0.6676534006963881
10,uniform,20,1,12.53556181865828,3.54055953468633,2.739924004192872,0.15263621184710685,0.6675585080640392
